Age,Age dist,N.cows.prehunt,N.harvested,N.cows.posthunt,N.cows.posthunt.corrected
1,0.150362319,1818.888562,195.13,1623.758562,1623.758562
2,0.144021739,1742.188442,285.19,1456.998442,1456.998442
3,0.138949275,1680.828346,190.1266667,1490.701679,1490.701679
4,0.122826087,1485.790898,190.1266667,1295.664231,1295.664231
5,0.075905797,918.2100091,190.1266667,728.0833424,728.0833424
6,0.042753623,517.1779526,75.05,442.1279526,442.1279526
7,0.067572464,817.404137,75.05,742.354137,742.354137
8,0.051086957,617.9838247,75.05,542.9338247,542.9338247
9,0.047644928,576.3466167,35.02333333,541.3232833,541.3232833
10,0.036594203,442.6692645,35.02333333,407.6459312,407.6459312
11,0.028804348,348.4376884,35.02333333,313.4143551,313.4143551
12,0.027536232,333.0976644,15.01,318.0876644,318.0876644
13,0.019927536,241.0575203,15.01,226.0475203,226.0475203
14,0.01557971,188.4631522,15.01,173.4531522,173.4531522
15,0.016123188,195.0374482,12.50833333,182.5291149,182.5291149
16,0.007065217,85.4658481,12.50833333,72.95751477,72.95751477
17,0.002536232,30.68004804,12.50833333,18.1717147,18.1717147
18,0.002717391,32.87148004,12.50833333,20.3631467,20.3631467
19,0.001268116,15.34002402,12.50833333,2.831690685,2.831690685
20,0.000724638,8.76572801,12.50833333,-3.742605323,0