Winter,Year,Total_Elk,Percent.female,Total_Elk_Female,Total_harvest,Post_hunt_Cows
1994-1995,1995,20931.70207,0.577913092,12096.70465,1501,10595.70465
1995-1996,1996,20022.74967,0.613488531,12283.72729,1094.693683,11189.0336
1996-1997,1997,19175.64333,,,1904.772196,
1997-1998,1998,17399.66013,0.533455882,9281.951049,1014,8267.951049
1998-1999,1999,16173.45213,0.541307028,8754.803313,1302.585569,7452.217744
1999-2000,2000,15315.85613,0.683877099,10474.16325,743,9731.163254
2000-2001,2001,14173.346,0.528624933,7492.384081,937,6555.384081
2001-2002,2002,12642.39593,0.637590602,8060.672838,888.7194245,7171.953414
2002-2003,2003,11670.36753,0.74547619,8699.98113,635,8064.98113
2003-2004,2004,10711.652,0.733501737,7857.015344,561,7296.015344
2004-2005,2005,10007.47493,0.749714937,7502.753442,388,7114.753442
2005-2006,2006,9380.571733,0.69580707,6527.068137,124,6403.068137
2006-2007,2007,8996.907667,0.733429992,6598.601915,111,6487.601915
2007-2008,2008,8900.106,0.780087527,6942.861683,89,6853.861683
2008-2009,2009,8176.69,0.73436402,6004.666936,134.7903226,5869.876613
2009-2010,2010,6914.8548,0.73372434,5073.597276,117.8286786,4955.768597
2010-2011,2011,6077.943333,0.703992253,4278.825022,84.87659054,4193.948431
2011-2012,2012,5531.946533,0.812475709,4494.572183,60.91143557,4433.660748
2012-2013,2013,5528.837467,0.744796122,4117.856705,17.97386623,4099.882838
2013-2014,2014,5753.9732,0.74063644,4261.602229,20.23302151,4241.369208
2014-2015,2015,5961.061667,0.705597964,4206.112978,28.51016668,4177.602811
2015-2016,2016,6267.538933,0.717054824,4494.169028,34.02826345,4460.140765
2016-2017,2017,7177.6444,0.724853801,5202.742827,47.8235054,5154.919321
2017-2018,2018,7922.339733,0.737561827,5843.215369,54.26128497,5788.954084
2018-2019,2019,7401.221267,0.751905626,5565.019911,73.57462369,5491.445287
2019-2020,2020,6736.920867,0.737095817,4965.756192,77.25335487,4888.502837