Year,Total_Elk,Inside_Elk,Outside_Elk,Proportion_Inside
1995,20931.70207,16909.73047,4021.9716,0.807852625
1996,20022.74967,16296.93413,3725.815533,0.813920885
1997,19175.64333,15657.0914,3518.551933,0.816509315
1998,17399.66013,14300.87467,3098.785467,0.821905403
1999,16173.45213,13422.38527,2751.066867,0.829902309
2000,15315.85613,12834.8824,2480.973733,0.838012729
2001,14173.346,11936.21267,2237.133333,0.842159125
2002,12642.39593,10662.12407,1980.271867,0.843362613
2003,11670.36753,9214.541267,2455.826267,0.789567359
2004,10711.652,7974.332133,2737.319867,0.744453996
2005,10007.47493,6662.762933,3344.712,0.665778628
2006,9380.571733,5658.323467,3722.248267,0.603196013
2007,8996.907667,5328.8904,3668.017267,0.592302444
2008,8900.106,4835.511867,4064.594133,0.543309469
2009,8176.69,4575.208133,3601.481867,0.559542814
2010,6914.8548,3713.606667,3201.248133,0.537047671
2011,6077.943333,3273.4694,2804.473933,0.538581757
2012,5531.946533,2685.755733,2846.1908,0.485499221
2013,5528.837467,2368.420733,3160.416733,0.428375901
2014,5753.9732,2270.7238,3483.2494,0.394635797
2015,5961.061667,2170.472867,3790.5888,0.36410844
2016,6267.538933,2102.251933,4165.287,0.335419047
2017,7177.6444,1986.477333,5191.167067,0.276758951
2018,7922.339733,2086.2224,5836.117333,0.263334125
2019,7401.221267,2016.2698,5384.951467,0.272423932
2020,6736.920867,1903.846133,4833.074733,0.282598857