Year,Survey Date,Method,Total #Elk Classified,#Cows,#Calves,#Calves: 100 Cows,#Yearling bulls: 100 cows,#BTB: 100 cows,#Bulls:100 cows
1995,"March 2, 1995",helicopter,3613,2088,697,33.4,10.9,28.7,39.7
1996,"March 12, 1996*",helicopter,*Survey restricted to YNP,,,,,,
1997,No survey,,No survey,,,,,,
1998,"March 7, 1998",helicopter,2720,1451,325,22.4,4.2,60.9,65.1
1999,"February 27 and March 1, 1999",helicopter,4055,2195,744,33.9,8.9,42.0,50.8
2000,"March 4-5, 2000",helicopter,3157,2159,491,22.7,6.7,16.8,23.5
2001,"March 26-27, 2001",helicopter,1869,988,287,29.0,6.5,53.6,60.1
2002,"February 27-28, 2002",helicopter,4001,2551,351,13.8,7.2,35.9,43.1
2003,"March 24, 2003",helicopter,4200,3131,387,12.4,3.7,18.1,21.8
2004,"March 4, 2004",helicopter,3167,2323,285,12.3,3.4,20.7,24.1
2005,"March 9, 2005",helicopter,3508,2630,343,13.0,4.5,15.8,20.3
2006,"March 23, 2006",helicopter,3649,2539,604,23.8,6.0,13.9,19.9
2007,"March 15, 2007",helicopter,4828,3541,658,18.6,6.1,11.7,17.8
2008,"March 28, 2008",helicopter,3656,2852,325,11.4,2.4,14.4,16.8
2009,"April 7, 2009",helicopter,4271,3136,673,21.5,4.0,10.7,14.7
2010,No survey,,No survey,,,,,,
2011,No survey,,No survey,,,,,,
2012,"April 2, 2012",helicopter,5146,4181,452,10.8,4.2,8.1,12.3
2013,"March 19, 2013",helicopter,3507,2612,481,18.4,5.4,10.5,15.8
2014,"March 24, 2014",helicopter,*Survey restricted to HD313,,,,,,
2015,"March 9, 2015",helicopter,3930,2773,736,26.5,8.7,6.5,15.2
2016,"March 18-19, 2016",helicopter,6913,4957,1157,23.3,7.4,8.7,16.1
2017,"March 17, 2017",helicopter,3420,2479,520,21.0,9.7,7.3,17.0
2018,"March 20-21, 2018",helicopter,3437,2535,475,18.7,7.7,9.1,16.8
2019,"March 17-19, 2019",helicopter,5510,4143,629,15.2,5.2,12.6,17.8
2020,No survey ,,No survey,,,,,,
2021,"March 11-12, 2021",helicopter,4681,3161,594,18.8,6.4,16.4,22.8
2022,"March 17-18, 2022",helicopter,6673,3502,548,15.6,7.3,13.6,20.9
2023,"March 18-19,2023",helicopter,6651,3658,492,13.4,5.6,10.3,15.9
2024,"March 6-7, 2024",helicopter,5597,3229,664,20.6,6.1,14.4,20.5
2025,"April 5-6, 2025",helicopter,7226,3706,660,17.81,7.07,10.87,10.87