winter (Jan.),mean,lwr CL,upr CL,mean,lwr CL,upr CL,mean,lwr CL,upr CL
1995,20932,14051,30098,16910,10450,24910,4022,2514,6637
1996,20023,12660,32715,16297,9037,26937,3726,2214,7205
1997,19176,12289,30170,15657,9035,25746,3519,1836,6593
1998,17400,11646,27601,14301,8680,23614,3099,1590,6195
1999,16173,9459,24677,13422,7557,20487,2751,1232,5530
2000,15316,8545,24198,12835,6665,22061,2481,1112,4705
2001,14173,9168,26435,11936,7127,25201,2237,1116,3761
2002,12642,10317,18399,10662,8588,16705,1980,1143,2931
2003,11670,9421,17007,9215,6962,14575,2456,2405,2796
2004,10712,8692,13968,7974,6255,11188,2737,2010,3554
2005,10007,8489,12799,6663,5177,9481,3345,3275,3720
2006,9381,7716,11458,5658,3982,7738,3722,3710,3806
2007,8997,7674,11044,5329,4459,7182,3668,2734,4706
2008,8900,7569,10984,4836,3529,6946,4065,3985,4510
2009,8177,7336,10508,4575,3806,6935,3601,3516,4114
2010,6915,5835,8753,3714,2630,5561,3201,3158,3563
2011,6078,4979,7696,3273,2571,4573,2804,2287,3736
2012,5532,4436,6955,2686,1655,4055,2846,2748,3304
2013,5529,4526,6936,2368,1477,3628,3160,3002,3737
2014,5754,4315,7414,2271,1437,3669,3483,2527,4599
2015,5961,5182,7116,2170,1433,3334,3791,3718,4102
2016,6268,5456,7654,2102,1513,3056,4165,3755,5380
2017,7178,6371,8424,1986,1397,2791,5191,4775,6144
2018,7922,7605,8825,2086,1851,2788,5836,5741,6395
2019,7401,5906,9136,2016,1354,2984,5385,4051,6974
2020,6737,6063,8084,1904,1361,3035,4833,4682,5846
2021,6877,5110,9256,1908,1179,3133,4969,3499,6848
2022,7047,5291,9481,1902,1108,3192,5145,3602,7064
2023,7062,6260,8475,1854,1078,3208,5208,5143,5578