ID,BirthDate,BirthYear,Capture Date,Collar Type 2,Last Date Alive,Last Date Alive Expl,Last Date Status,MT-COD,MT-COD Certainty
1,1984-06-01,1984,2000-03-15,VHF,2001-02-24,MT DOD,Dead,Wolf,Probable
2,,,2000-03-15,VHF,2008-02-21,Last Live VHF,Live,,
3,1997-06-01,1997,2000-03-15,VHF,2004-01-04,MT DOD,Dead,Harvest,Definite
4,1994-06-01,1994,2000-03-15,VHF,2003-03-21,Midpoint DOD,Dead,Malnutrition,
5,1996-06-01,1996,2000-03-15,VHF,2000-04-12,MT DOD,Dead,Capture,Probable
6,1991-06-01,1991,2000-03-15,VHF,2004-05-10,Midpoint DOD,Dead,Natural-Unknown,Unknown
7,1997-06-01,1997,2000-03-15,VHF,2002-02-03,MT DOD,Dead,Harvest,Definite
8,1991-06-01,1991,2000-03-15,VHF,2002-08-30,MT DOD,Dead,Wolf,Probable
9,1990-06-01,1990,2000-03-15,VHF,2002-02-08,MT DOD,Dead,Harvest,Definite
10,1991-06-01,1991,2000-03-15,VHF,2001-01-29,MT DOD,Dead,Harvest,Definite
11,1994-06-01,1994,2000-03-15,VHF,2001-02-03,MT DOD,Dead,Harvest,Definite
12,1993-06-01,1993,2000-03-15,VHF,2007-02-19,Last Live VHF,Live,,
13,1988-06-01,1988,2000-03-15,VHF,2001-01-07,MT DOD,Dead,Harvest,Definite
14,,,2000-03-15,VHF,2008-04-03,Last Live VHF,Live,,
15,1990-06-01,1990,2000-03-15,VHF,2003-01-03,Last Live VHF,Live,,
16,1992-06-01,1992,2000-03-15,VHF,2002-01-04,MT DOD,Dead,Harvest,Definite
17,1998-06-01,1998,2000-03-15,VHF,2001-01-23,Last Live VHF,Live,,
18,1992-06-01,1992,2000-03-15,VHF,2008-03-30,Last Live VHF,Live,,
19,1988-06-01,1988,2000-03-15,VHF,2007-01-19,MT DOD,Dead,Harvest,Definite
20,1989-06-01,1989,2000-03-15,VHF,2007-08-15,Last Live VHF,Live,,
21,,,2000-03-16,VHF,2007-12-14,Last Live VHF,Live,,
22,,,2000-03-16,VHF,2007-04-23,Midpoint DOD,Dead,Wolf,Possible
23,1997-06-01,1997,2000-03-16,VHF,2008-02-21,Last Live VHF,Live,,
24,1991-06-01,1991,2000-03-16,VHF,2001-01-13,MT DOD,Dead,Harvest Wound,Probable
25,1984-06-01,1984,2000-03-16,VHF,2002-06-05,MT DOD,Dead,Wolf,Probable
26,1988-06-01,1988,2000-03-16,VHF,2000-09-12,MT DOD,Dead,Wolf,Possible
27,1987-06-01,1987,2000-03-16,VHF,2001-01-22,MT DOD,Dead,Wolf,Definite
28,1995-06-01,1995,2000-03-16,VHF,2008-02-21,Last Live VHF,Live,,
29,1992-06-01,1992,2000-03-16,VHF,2005-07-27,Last Live VHF,Live,,
30,1993-06-01,1993,2000-03-16,VHF,2008-03-18,Midpoint DOD,Dead,Natural-Unknown,Probable
31,1992-06-01,1992,2000-03-16,VHF,2001-12-25,Midpoint DOD,Dead,Wolf,Probable
32,1991-06-01,1991,2000-03-16,VHF,2003-06-06,MT DOD,Dead,Wolf,Probable
33,1990-06-01,1990,2000-03-16,VHF,2003-03-25,MT DOD,Dead,Wolf,Probable
34,1996-06-01,1996,2000-03-16,VHF,2007-05-16,MT DOD,Dead,Wolf,Probable
35,1991-06-01,1991,2000-03-16,VHF,2003-12-19,MT DOD,Dead,Wolf,Probable
36,1984-06-01,1984,2000-03-16,VHF,2000-04-11,MT DOD,Dead,Wolf,Probable
37,1992-06-01,1992,2000-03-16,VHF,2008-02-21,Last Live VHF,Live,,
38,1985-06-01,1985,2000-03-16,VHF,2000-03-20,MT DOD,Dead,Cougar,Definite
39,1993-06-01,1993,2000-03-16,VHF,2002-02-11,MT DOD,Dead,Harvest,Definite
40,1988-06-01,1988,2000-03-16,VHF,2001-06-21,Midpoint DOD,Dead,Wolf,Possible
41,1984-06-01,1984,2000-03-16,VHF,2001-12-22,Midpoint DOD,Dead,Natural-Unknown,Probable
42,,,2000-03-16,VHF,2003-12-27,MT DOD,Dead,Natural-Unknown,Probable
43,1996-06-01,1996,2000-03-16,VHF,2001-01-05,MT DOD,Dead,Harvest,Definite
44,1994-06-01,1994,2000-03-16,VHF,2003-12-01,MT DOD,Dead,Wolf,Possible
45,1991-06-01,1991,2000-03-16,VHF,2003-06-10,Midpoint DOD,Dead,Natural-Unknown,Unknown
46,1983-06-01,1983,2001-02-06,GPS,2001-02-11,MT DOD,Dead,Unknown,Unknown
47,1984-06-01,1984,2001-02-06,VHF,2001-03-01,MT DOD,Dead,Wolf,Definite
48,1986-06-01,1986,2001-02-06,VHF,2002-11-17,Midpoint DOD,Dead,Natural-Unknown,Probable
49,1986-06-01,1986,2001-02-06,VHF,2003-02-24,MT DOD,Dead,Malnutrition,Probable
50,1991-06-01,1991,2001-02-06,VHF,2006-08-10,Midpoint DOD,Dead,Natural-Unknown,Probable
51,1985-06-01,1985,2001-02-06,VHF,2004-06-18,MT DOD,Dead,Wolf,Probable
52,1994-06-01,1994,2001-02-06,VHF,2008-02-21,Last Live VHF,Live,Unknown,Unknown
53,1984-06-01,1984,2001-02-06,VHF,2004-02-27,Last Live VHF,Live,Unknown,Unknown
54,1985-06-01,1985,2001-02-06,VHF,2003-06-20,Midpoint DOD,Dead,Grizzly,Probable
55,1986-06-01,1986,2001-02-06,VHF,2003-01-18,Midpoint DOD,Dead,Natural-Unknown,Unknown
56,1993-06-01,1993,2001-02-06,GPS,2001-12-12,Last Live VHF,Live,,
57,1989-06-01,1989,2001-02-06,GPS,2001-12-14,Last Live GPS,Live,,
58,,,2001-02-06,GPS,2001-12-14,Last Live GPS,Live,,
59,1992-06-01,1992,2001-02-06,VHF,2005-04-29,Last Live VHF,Live,,
60,1993-06-01,1993,2001-02-06,GPS,2004-08-11,Last Live VHF,Live,,
61,1989-06-01,1989,2001-02-06,GPS,2001-12-14,Last Live GPS,Live,,
62,1982-06-01,1982,2001-02-06,GPS,2001-12-10,Last Live VHF,Live,,
63,1994-06-01,1994,2001-02-08,GPS,2001-12-09,Last Live VHF,Live,,
64,1992-06-01,1992,2001-02-08,GPS,2001-12-06,Last Live VHF,Live,,
65,1992-06-01,1992,2001-02-08,VHF,2001-02-10,MT DOD,Dead,Harvest,Definite
66,1985-06-01,1985,2001-02-08,VHF,2001-03-19,MT DOD,Dead,Cougar,Definite
67,,,2001-02-08,VHF,2001-08-23,Last Live VHF,Live,,
68,1984-06-01,1984,2001-02-08,VHF,2001-02-14,MT DOD,Dead,Cougar,Probable
69,1987-06-01,1987,2001-02-08,VHF,2005-06-13,Midpoint DOD,Dead,Natural-Unknown,Probable
70,1985-06-01,1985,2001-02-08,GPS,2001-12-12,Last Live VHF,Live,,
71,1992-06-01,1992,2001-02-08,GPS,2001-12-14,Last Live GPS,Live,,
72,1995-06-01,1995,2001-02-08,GPS,2003-02-07,Last Live GPS,Live,,
73,1992-06-01,1992,2001-02-08,VHF,2003-01-06,MT DOD,Dead,Harvest,Definite
74,1989-06-01,1989,2002-02-04,GPS,2003-02-07,Last Live GPS,Live,,
75,1992-06-01,1992,2002-02-04,GPS,2003-02-07,Last Live GPS,Live,,
76,1986-06-01,1986,2002-02-04,VHF,2002-04-12,Last Live VHF,Live,,
77,1991-06-01,1991,2002-02-04,VHF,2007-02-20,Midpoint DOD,Dead,Natural-Unknown,Unknown
78,1997-06-01,1997,2002-02-04,VHF,2008-03-10,MT DOD,Dead,Wolf,Probable
79,1987-06-01,1987,2002-02-04,VHF,2004-01-17,Midpoint DOD,Dead,Natural-Unknown,Unknown
80,1995-06-01,1995,2002-02-04,VHF,2006-04-22,Midpoint DOD,Dead,Natural-Unknown,Unknown
81,1989-06-01,1989,2002-02-04,VHF,2005-05-16,MT DOD,Dead,Wolf,Probable
82,1994-06-01,1994,2002-02-04,VHF,2002-03-03,MT DOD,Dead,Natural-Unknown,Unknown
83,1995-06-01,1995,2002-02-05,VHF,2008-06-13,Last Live VHF,Live,,
84,1996-06-01,1996,2002-02-05,VHF,2006-08-01,Last Live VHF,Live,,
85,1993-06-01,1993,2002-02-05,VHF,2005-01-23,MT DOD,Dead,Harvest,Definite
86,1998-06-01,1998,2002-02-05,GPS,2002-10-09,Last Live VHF,Live,,
87,1990-06-01,1990,2002-02-05,GPS,2002-12-13,Last Live GPS,Live,,
88,2000-06-01,2000,2002-02-05,GPS,2002-12-13,Last Live GPS,Live,,
89,1992-06-01,1992,2002-02-05,GPS,2002-02-12,MT DOD,Dead,Capture,Probable
90,1990-06-01,1990,2002-02-05,GPS,2002-12-13,Last Live GPS,Live,,
91,1986-06-01,1986,2002-02-05,GPS,2002-12-13,Last Live GPS,Live,,
92,1995-06-01,1995,2002-02-05,GPS,2002-12-13,Last Live GPS,Live,,
93,1994-06-01,1994,2002-02-05,GPS,2002-11-06,Last Live VHF,Live,,
94,1990-06-01,1990,2003-02-27,VHF,2006-03-22,MT-DOD,Dead,Natural-Other,Probable
95,1986-06-01,1986,2003-02-27,VHF,2004-10-01,MT-DOD,Dead,Wolf,Probable
96,1997-06-01,1997,2003-02-27,VHF,2006-09-23,Last Live VHF,Live,,
97,2000-06-01,2000,2003-02-27,VHF,2004-02-06,MT-DOD,Dead,Harvest,Definite
98,1991-06-01,1991,2003-02-27,VHF,2008-01-30,Midpoint DOD,Dead,Natural-Unknown,Unknown
99,1992-06-01,1992,2003-02-27,VHF,2007-07-08,Midpoint DOD,Dead,Natural-Unknown,Unknown
100,1998-06-01,1998,2003-02-27,VHF,2007-03-31,Last Live VHF,Live,,
101,1985-06-01,1985,2003-02-27,VHF,2003-03-29,Last Live VHF,Live,,
102,2000-06-01,2000,2003-02-27,VHF,2006-02-11,Last Live VHF,Live,,
103,1994-06-01,1994,2003-02-27,GPS,2004-02-27,Last Live VHF,Live,,
104,1989-06-01,1989,2003-02-27,GPS,2004-04-01,Last Live GPS,Live,,
105,1985-06-01,1985,2003-02-27,GPS,2003-12-21,MT-DOD,Dead,Wolf,Probable
106,1985-06-01,1985,2003-02-27,GPS,2003-04-16,MT-DOD,Dead,Malnutrition,Probable
107,1986-06-01,1986,2003-02-27,GPS,2003-06-09,MT-DOD,Dead,Natural-Other,Possible
108,1991-06-01,1991,2003-02-27,GPS,2003-12-13,Last Live GPS,Live,,
109,1990-06-01,1990,2003-02-27,GPS,2004-02-27,Last Live VHF,Live,,
110,1985-06-01,1985,2003-02-27,GPS,2004-04-01,Last Live GPS,Live,,
111,1992-06-01,1992,2003-02-27,GPS,2004-01-07,Midpoint DOD,Dead,Natural-Unknown,Unknown
112,1990-06-01,1990,2003-02-27,GPS,2004-04-01,Last Live GPS,Live,,
113,1993-06-01,1993,2003-02-27,GPS,2004-02-27,Last Live VHF,Live,,
114,1997-06-01,1997,2005-02-01,VHF,2006-12-09,Midpoint DOD,Dead,Natural-Unknown,Unknown
115,1990-06-01,1990,2005-02-01,VHF,2008-04-03,MT-DOD,Dead,Wolf,Probable
116,1995-06-01,1995,2005-02-01,VHF,2006-01-13,MT-DOD,Dead,Harvest,Definite
117,,,2005-02-01,VHF,2012-07-13,MT-DOD,Dead,Natural-Unknown,Unknown
118,1994-06-01,1994,2005-02-01,VHF,2008-02-29,MT-DOD,Dead,Wolf,Probable
119,1990-06-01,1990,2005-02-01,VHF,2007-12-14,Last Live VHF,Live,,
120,1999-06-01,1999,2005-02-01,VHF,2020-05-17,MT-DOD,Dead,Wolf,Probable
121,1993-06-01,1993,2005-02-01,VHF,2008-07-19,Midpoint DOD,Dead,Natural-Unknown,Unknown
122,1996-06-01,1996,2005-02-01,VHF,2013-05-02,Last Live VHF,Live,,
123,,,2005-02-01,VHF,2015-01-21,Last Live VHF,Live,Natural-Unknown,Unknown
124,1998-06-01,1998,2005-02-01,VHF,2011-04-25,MT-DOD,Dead,Wolf,Probable
125,1993-06-01,1993,2005-02-01,VHF,2006-07-09,MT-DOD,Dead,Natural-Unknown,Unknown
126,1995-06-01,1995,2005-02-01,VHF,2011-06-06,Midpoint DOD,Dead,Natural-Unknown,Unknown
127,1993-06-01,1993,2005-02-01,VHF,2008-03-30,Last Live VHF,Live,,
128,1998-06-01,1998,2005-02-01,VHF,2008-04-03,Last Live VHF,Live,,
129,1989-06-01,1989,2005-02-01,VHF,2008-04-19,MT-DOD,Dead,Malnutrition,Probable
130,1993-06-01,1993,2005-02-01,VHF,2010-01-29,Midpoint DOD,Dead,Natural-Unknown,Unknown
131,1993-06-01,1993,2005-02-01,VHF,2009-01-09,MT-DOD,Dead,Wolf,Probable
132,2002-06-01,2002,2006-03-02,VHF,2019-12-17,MT-DOD,Dead,Wolf,Probable
133,1998-06-01,1998,2006-03-02,VHF,2012-05-19,MT-DOD,Dead,Wolf,Probable
134,1994-06-01,1994,2006-03-02,VHF,2009-12-01,Midpoint DOD,Dead,Natural-Unknown,Unknown
135,1998-06-01,1998,2006-03-02,VHF,2016-05-01,Midpoint DOD,Dead,Natural-Unknown,Unknown
136,1990-06-01,1990,2006-03-02,VHF,2007-12-14,MT-DOD,Dead,Wolf,Probable
137,1992-06-01,1992,2006-03-02,VHF,2008-06-27,Last Live VHF,Live,,
138,2001-06-01,2001,2006-03-02,VHF,2015-06-22,Midpoint DOD,Dead,Natural-Unknown,Unknown
139,2002-06-01,2002,2006-03-02,VHF,2018-11-10,MT-DOD,Dead,Harvest,Definite
140,1996-06-01,1996,2006-03-02,VHF,2014-10-20,MT-DOD,Dead,Natural-Unknown,Unknown
141,1994-06-01,1994,2006-03-02,VHF,2009-03-27,Midpoint DOD,Dead,Unknown,Unknown
142,1994-06-01,1994,2006-03-02,VHF,2014-06-03,Midpoint DOD,Dead,Natural-Unknown,Unknown
143,1991-06-01,1991,2006-03-02,VHF,2009-12-01,Midpoint DOD,Dead,Natural-Unknown,Unknown
144,1992-06-01,1992,2006-03-02,VHF,2006-06-22,Last Live VHF,Live,,
145,1996-06-01,1996,2006-03-02,VHF,2010-02-03,MT-DOD,Dead,Natural-Unknown,Unknown
146,1986-06-01,1986,2006-03-02,VHF,2006-03-25,Midpoint DOD,Dead,Natural-Unknown,Unknown
147,1993-06-01,1993,2006-03-02,VHF,2006-05-05,MT-DOD,Dead,Unknown,Unknown
148,1996-06-01,1996,2006-03-02,VHF,2014-10-31,MT-DOD,Dead,Wolf,Possible
149,1992-06-01,1992,2006-03-02,VHF,2012-02-23,Last Live VHF,Live,,
150,1994-06-01,1994,2006-03-02,VHF,2007-12-14,Last Live VHF,Live,,
151,1993-06-01,1993,2006-03-02,VHF,2009-01-02,Midpoint DOD,Dead,Unknown,Unknown
152,1992-06-01,1992,2006-03-02,VHF,2007-07-30,Last Live VHF,Live,,
153,1994-06-01,1994,2006-03-02,VHF,2011-10-11,MT-DOD,Dead,Wolf,Possible
154,1992-06-01,1992,2006-03-02,VHF,2007-12-14,Last Live VHF,Live,,
155,2002-06-01,2002,2006-03-02,VHF,2012-01-31,Last Live VHF,Live,,
156,1994-06-01,1994,2006-03-02,VHF,2009-10-08,Midpoint DOD,Dead,Natural-Unknown,Unknown
157,1993-06-01,1993,2006-03-02,VHF,2009-12-19,Midpoint DOD,Dead,Natural-Unknown,Unknown
158,1997-06-01,1997,2006-03-02,VHF,2015-08-19,MT-DOD,Dead,Unknown,Unknown
159,1992-06-01,1992,2006-03-02,VHF,2014-05-18,MT-DOD,Dead,Wolf,Probable
160,1992-06-01,1992,2006-03-02,VHF,2008-04-03,Last Live VHF,Live,Natural-Unknown,Unknown
161,1994-06-01,1994,2006-03-02,VHF,2012-03-18,MT-DOD,Dead,Wolf,Probable
1101,1999-06-01,1999,2011-03-21,GPS,2015-09-01,Last Live GPS,Live,,
1102,1997-06-01,1997,2011-03-21,GPS,2011-08-20,Last Live GPS,Dead,Natural-Unknown,Unknown
1103,1993-06-01,1993,2011-03-21,GPS,2013-08-29,Last Live GPS,Dead,Wolf,Definite
1104,2005-06-01,2005,2011-03-21,GPS,2015-09-01,Last Live GPS,Live,,
1105,1996-06-01,1996,2011-03-21,GPS,2011-03-22,MT-DOD,Dead,Capture,Definite
1106,1996-06-01,1996,2011-03-21,VHF,2013-02-19,MT-DOD,Dead,Wolf,Probable
1107,1995-06-01,1995,2011-03-21,VHF,2015-08-01,MT-DOD,Dead,Unknown,Unknown
1108,1995-06-01,1995,2011-03-21,,,,,,
1109,1992-06-01,1992,2011-03-21,VHF,2011-09-26,Midpoint DOD,Dead,Natural-Unknown,Unknown
1110,2005-06-01,2005,2011-03-21,VHF,2019-03-18,Midpoint DOD,Dead,Malnutrition,Probable
1111,2000-06-01,2000,2011-03-21,VHF,2018-11-17,Midpoint DOD,Dead,Cougar,Possible
1112,1997-06-01,1997,2011-03-21,VHF,2011-08-06,Midpoint DOD,Dead,Wolf,Probable
1113,1999-06-01,1999,2011-03-21,VHF,2018-01-27,Midpoint DOD,Dead,Natural-Unknown,Possible
1114,2006-06-01,2006,2011-03-21,VHF,2019-09-19,Midpoint DOD,Dead,Natural-Unknown,Unknown
1115,2006-06-01,2006,2011-03-21,VHF,2016-09-25,Midpoint DOD,Dead,Unknown,Unknown
1116,1993-06-01,1993,2011-03-21,VHF,2014-07-27,MT-DOD,Dead,Wolf,Probable
1117,1998-06-01,1998,2011-03-21,VHF,2014-04-23,Midpoint DOD,Dead,Wolf,Probable
1118,1997-06-01,1997,2011-03-21,VHF,2013-06-07,MT-DOD,Dead,Wolf,Probable
1119,2000-06-01,2000,2011-03-21,VHF,2022-04-29,MT-DOD,Dead,Malnutrition,Probable
1120,2000-06-01,2000,2011-03-21,VHF,2017-05-07,MT-DOD,Dead,Wolf,Probable
1121,2000-06-01,2000,2011-03-21,VHF,2013-04-30,Midpoint DOD,Dead,Cougar,Definite
1122,1991-06-01,1991,2011-03-21,VHF,2013-02-16,Midpoint DOD,Dead,Wolf,Possible
1123,2002-06-01,2002,2011-03-21,VHF,2021-07-04,Midpoint DOD,Dead,Unknown,Unknown
1124,2004-06-01,2004,2011-03-21,VHF,2019-02-11,Midpoint DOD,Dead,Natural-Unknown,Unknown
1125,1994-06-01,1994,2011-03-21,VHF,2020-01-26,Midpoint DOD,Dead,Wolf,Possible
1126,2004-06-01,2004,2011-03-21,VHF,2022-06-15,Midpoint DOD,Dead,Wolf,Probable
1127,2001-06-01,2001,2011-03-21,VHF,2012-12-05,Midpoint DOD,Dead,Unknown,Unknown
1128,2005-06-01,2005,2011-03-21,VHF,2011-06-14,Midpoint DOD,Dead,Wolf,Probable
1129,2002-06-01,2002,2011-03-21,VHF,2019-01-06,MT-DOD,Dead,Wolf,Probable
1130,2001-06-01,2001,2011-03-21,VHF,2014-03-19,Midpoint DOD,Dead,Wolf,Possible
1131,,,2011-04-06,GPS,2021-07-16,Midpoint DOD,Dead,Unknown,Unknown
1133,2009-06-01,2009,2011-10-24,GPS,2012-03-02,Midpoint DOD,Dead,Capture,Probable
1201,1999-06-01,1999,2012-02-21,GPS,2013-04-26,MT-DOD,Dead,Wolf,Probable
1202,2000-06-01,2000,2012-02-21,GPS,2015-11-28,MT-DOD,Dead,Harvest,Definite
1203,1994-06-01,1994,2012-02-21,GPS,2015-02-25,Last Live VHF,Live,,
1204,1995-06-01,1995,2012-02-21,GPS,2015-09-21,Last Live VHF,Live,,
1205,2004-06-01,2004,2012-02-21,GPS,2019-03-04,MT-DOD,Dead,Wolf,Definite
1206,1994-06-01,1994,2012-02-21,GPS,2013-08-22,MT-DOD,Dead,Wolf,Probable
1207,2000-06-01,2000,2012-02-21,GPS,2017-02-08,Midpoint DOD,Dead,Unknown,
1208,2003-06-01,2003,2012-02-21,GPS,2019-09-14,Midpoint DOD,Dead,Natural-Unknown,Unknown
1209,2003-06-01,2003,2012-02-21,VHF,2015-02-12,Last Live VHF,Live,Natural-Unknown,Unknown
1210,2000-06-01,2000,2012-02-21,GPS,2018-06-18,Midpoint DOD,Dead,Natural-Unknown,Probable
1211,1997-06-01,1997,2012-02-21,GPS,2013-04-20,MT-DOD,Dead,Wolf,Probable
1212,1997-06-01,1997,2012-02-21,GPS,2015-11-14,Last Live VHF,Live,,
1213,2003-06-01,2003,2012-02-21,GPS,2014-12-05,MT-DOD,Dead,Harvest,Definite
