ID,BirthDate,BirthYear,Capture Date,Collar Type 2,Last Date Alive,Last Date Alive Expl,Last Date Status,MT-COD,MT-COD Certainty
1214,2001-06-01,2001,2012-02-21,GPS,2015-08-24,MT-DOD,Dead,Natural-Unknown,Unknown
1215,2000-06-01,2000,2012-02-21,GPS,2015-11-29,MT-DOD,Dead,Wolf,Probable
1301,2006-06-01,2006,2013-01-18,VHF,2018-05-25,MT-DOD,Dead,Natural-Unknown,Probable
1302,2006-06-01,2006,2013-01-18,VHF,2022-06-18,Midpoint DOD,Dead,Cougar,Probable
1303,1997-06-01,1997,2013-01-18,VHF,2014-02-20,Midpoint DOD,Dead,Natural-Unknown,Unknown
1304,2002-06-01,2002,2013-01-18,VHF,2020-07-14,Midpoint DOD,Dead,Natural-Unknown,Unknown
1305,2000-06-01,2000,2013-01-18,VHF,2017-03-23,MT-DOD,Dead,Wolf,Probable
1306,2002-06-01,2002,2013-01-18,VHF,2023-09-29,Last Live VHF,Live,,
1307,2005-06-01,2005,2013-01-18,VHF,2023-09-26,Last Live VHF,Live,,
1308,2005-06-01,2005,2013-01-18,VHF,2020-09-14,MT-DOD,Dead,Wolf,Probable
1309,2008-06-01,2008,2013-01-18,VHF,2019-07-08,Last Live VHF,Live,,
1310,2004-06-01,2004,2013-01-18,VHF,2020-03-31,MT-DOD,Dead,Wolf,Probable
1311,1998-06-01,1998,2013-01-18,GPS,2016-10-24,Last Live GPS,Dead,Wolf,Probable
1312,2003-06-01,2003,2013-01-18,GPS,2017-03-29,MT-DOD,Dead,Wolf,Probable
1313,1998-06-01,1998,2013-01-18,GPS,2015-03-27,MT-DOD,Dead,Malnutrition,Definite
1314,2010-06-01,2010,2013-01-18,GPS,2019-04-25,Last Live VHF,Live,,
1315,2000-06-01,2000,2013-01-18,GPS,2016-10-02,Midpoint DOD,Dead,Natural-Unknown,Unknown
1316,2000-06-01,2000,2013-01-18,GPS,2014-01-30,MT-DOD,Dead,Wolf,Probable
1317,2007-06-01,2007,2013-01-18,GPS,2018-10-31,Last Live GPS,Live,,
1318,,,2013-01-18,GPS,2017-04-10,Last Live VHF,Live,,
1319,2010-06-01,2010,2013-01-18,GPS,2016-02-16,MT-DOD,Dead,Harvest Wound,Definite
1320,2006-06-01,2006,2013-01-18,GPS,2018-07-22,Last Live GPS,Live,,
1401,2002-06-01,2002,2013-12-11,GPS,2016-02-14,MT-DOD,Dead,Harvest,Definite
1402,2003-06-01,2003,2013-12-11,GPS,2015-08-14,MT-DOD,Dead,Wolf,Probable
1403,2010-06-01,2010,2013-12-11,GPS,2015-02-25,Last Live VHF,Live,,
1404,2000-06-01,2000,2013-12-11,GPS,2019-09-03,MT-DOD,Dead,Unknown,Unknown
1405,2009-06-01,2009,2013-12-11,GPS,2016-08-29,Last Live GPS,Live,,
1406,2010-06-01,2010,2013-12-11,GPS,2016-09-27,Last Live GPS,Live,,
1407,2004-06-01,2004,2013-12-11,GPS,2017-12-22,Last Live Obs,Live,,
1408,2011-06-01,2011,2013-12-11,GPS,2017-03-22,Last Live VHF,Live,,
1409,2003-06-01,2003,2013-12-11,GPS,2015-08-13,Last Live VHF,Live,,
1410,2006-06-01,2006,2013-12-11,GPS,2017-05-16,Last Live GPS,Dead,Malnutrition,Probable
1412,2007-06-01,2007,2013-12-11,VHF,2021-01-01,MT-DOD,Dead,Wolf,Probable
1413,2003-06-01,2003,2013-12-11,VHF,2017-08-27,Midpoint DOD,Dead,Natural-Unknown,Unknown
1414,2003-06-01,2003,2013-12-11,VHF,2021-04-30,Midpoint DOD,Dead,Cougar,Probable
1415,2005-06-01,2005,2013-12-11,VHF,2016-11-24,MT-DOD,Dead,Harvest,Definite
1416,2006-06-01,2006,2013-12-11,VHF,2014-07-16,Midpoint DOD,Dead,Vehicle,Possible
1417,2003-06-01,2003,2013-12-11,VHF,2021-03-23,MT-DOD,Dead,Wolf,Probable
1419,2002-06-01,2002,2013-12-11,VHF,2016-05-10,MT-DOD,Dead,Wolf,Probable
1420,2009-06-01,2009,2013-12-11,VHF,2019-01-16,MT-DOD,Dead,Harvest,Definite
1421,2010-06-01,2010,2013-12-11,VHF,2017-11-25,MT-DOD,Dead,Harvest Wound,Probable
1422,2005-06-01,2005,2013-12-11,,,,,Capture,Definite
1501,2001-06-01,2001,2014-12-16,GPS,2018-03-17,MT-DOD,Dead,Wolf,Probable
1502,1998-06-01,1998,2014-12-16,GPS,2016-03-16,MT-DOD,Dead,Cougar,Definite
1503,1999-06-01,1999,2014-12-15,GPS,2015-03-25,MT-DOD,Dead,Cougar,Possible
1504,2004-06-01,2004,2014-12-15,GPS,2018-04-15,Last Live VHF,Live,,
1505,1993-06-01,1993,2014-12-16,GPS,2015-04-06,MT-DOD,Dead,Wolf,Probable
1506,2000-06-01,2000,2014-12-16,GPS,2022-01-18,MT-DOD,Dead,Wolf,Definite
1507,1992-06-01,1992,2014-12-16,GPS,2016-05-16,MT-DOD,Dead,Wolf,Probable
1508,2005-06-01,2005,2014-12-16,GPS,2017-09-25,MT-DOD,Dead,Natural-Unknown,Unknown
1509,2007-06-01,2007,2014-12-15,GPS,2018-03-17,Last Live Obs,Live,,
1510,2001-06-01,2001,2014-12-15,GPS,2015-02-01,MT-DOD,Dead,Wolf,Probable
1511,2004-06-01,2004,2014-12-15,GPS,2018-04-14,Last Live VHF,Live,,
1512,2005-06-01,2005,2014-12-15,GPS,2021-03-12,MT-DOD,Dead,Wolf,Probable
1513,2009-06-01,2009,2014-12-15,GPS,2018-03-21,Last Live VHF,Live,,
1514,2012-06-01,2012,2014-12-15,GPS,2018-01-30,Last Live GPS,Live,,
1515,2003-06-01,2003,2014-12-15,GPS,2020-04-21,Midpoint DOD,Dead,Unknown,
1516,2010-06-01,2010,2014-12-15,GPS,2019-11-17,MT-DOD,Dead,Wolf,Probable
1517,2011-06-01,2011,2014-12-15,GPS,2018-02-13,MT-DOD,Dead,Malnutrition,Probable
1518,2006-06-01,2006,2014-12-16,GPS,2020-05-05,Last Live VHF,Live,,
1519,2008-06-01,2008,2014-12-15,GPS,2018-10-31,Last Live GPS,Live,,
1520,2012-06-01,2012,2014-12-15,GPS,2017-06-08,Last Live GPS,Live,,
1601,2011-06-01,2011,2016-01-16,GPS,2019-01-28,MT-DOD,Dead,Wolf,Probable
1602,2008-06-01,2008,2016-01-16,GPS,2019-12-01,Last Live GPS,Live,,
1603,2009-06-01,2009,2016-01-15,GPS,2019-12-01,Last Live GPS,Live,,
1604,2013-06-01,2013,2016-01-15,GPS,2018-04-21,Last Live VHF,Live,,
1605,,,,,,,,,
1606,2010-06-01,2010,2016-01-16,GPS,2019-12-01,Last Live GPS,Live,,
1607,2000-06-01,2000,2016-01-16,GPS,2016-10-10,MT-DOD,Dead,Wolf,Possible
1608,2013-06-01,2013,2016-01-15,GPS,2023-05-10,Midpoint DOD,Dead,Unknown,Unknown
1609,2009-06-01,2009,2016-01-15,,,,,,
1610,2001-06-01,2001,2016-01-16,GPS,2018-05-17,MT-DOD,Dead,Malnutrition,Probable
1611,1999-06-01,1999,2016-01-16,GPS,2016-07-25,MT-DOD,Dead,Vehicle,Probable
1612,2001-06-01,2001,2016-01-15,GPS,2018-04-21,MT-DOD,Dead,Malnutrition,Probable
1613,2003-06-01,2003,2016-01-15,GPS,2018-11-17,MT-DOD,Dead,Harvest,Definite
1614,2004-06-01,2004,2016-01-15,GPS,2019-08-03,Last Live GPS,Live,,
1615,2010-06-01,2010,2016-01-15,GPS,2019-03-26,Last Live GPS,Live,,
1616,2003-06-01,2003,2016-01-16,GPS,2019-04-08,MT-DOD,Dead,Malnutrition,Probable
1617,2004-06-01,2004,2016-01-15,GPS,2019-05-27,Last Live GPS,Dead,Natural-Unknown,Unknown
1618,1998-06-01,1998,2016-01-16,GPS,2017-02-08,MT-DOD,Dead,Malnutrition,Probable
1619,2012-06-01,2012,2016-01-16,GPS,2019-11-06,Last Live VHF,Live,,
1620,2011-06-01,2011,2016-01-16,GPS,2021-02-14,MT-DOD,Dead,Unknown,Unknown
1621,2013-06-01,2013,2016-01-16,GPS,2016-04-21,Last Live GPS,Live,,
1622,2009-06-01,2009,2016-01-15,GPS,2019-12-01,Last Live GPS,Live,,
1623,2006-06-01,2006,2016-01-15,GPS,2020-03-20,Last Live GPS,Live,,
1624,2002-06-01,2002,2016-01-16,GPS,2019-06-02,MT-DOD,Dead,Malnutrition,Possible
1625,2004-06-01,2004,2016-01-16,GPS,2018-07-22,Last Live VHF,Live,,
1626,2006-06-01,2006,2016-01-15,GPS,2019-12-01,Last Live GPS,Live,,
1627,2013-06-01,2013,2016-01-15,GPS,2019-12-01,Last Live GPS,Live,,
1628,2008-06-01,2008,2016-02-25,GPS,2019-11-25,Last Live VHF,Live,,
1629,2007-06-01,2007,2016-02-25,GPS,2019-11-06,Last Live VHF,Live,,
1630,2011-06-01,2011,2016-02-25,GPS,2016-10-11,Last Live GPS,Live,,
1631,2013-06-01,2013,2016-02-25,GPS,2019-09-13,Last Live VHF,Live,,
1632,,,2016-01-15,,,,,,
1633,2004-06-01,2004,2016-01-16,,,,,,
1701,2013-06-01,2013,2017-01-17,GPS,2020-07-30,Last Live VHF,Live,,
1702,2012-06-01,2012,2017-01-16,GPS,2020-10-23,Last Live VHF,Live,,
1703,2000-06-01,2000,2017-01-16,GPS,2018-10-11,Last Live GPS,Dead,Cougar,Possible
1704,2005-06-01,2005,2017-01-16,GPS,2023-02-10,MT-DOD,Dead,Malnutrition,Probable
1705,2000-06-01,2000,2017-01-17,GPS,2020-10-24,MT-DOD,Dead,Wolf,Probable
1706,2003-06-01,2003,2017-01-17,GPS,2023-03-18,MT-DOD,Dead,Wolf,Probable
1707,2004-06-01,2004,2017-01-16,GPS,2022-07-05,MT-DOD,Dead,Natural-Unknown,Unknown
1708,2003-06-01,2003,2017-01-17,GPS,2017-03-11,Last Live GPS,Dead,Natural-Unknown,Unknown
1709,1999-06-01,1999,2017-01-17,GPS,2020-05-19,MT-DOD,Dead,Wolf,Probable
1710,2001-06-01,2001,2017-01-17,GPS,2018-03-16,MT-DOD,Dead,Wolf,Probable
1801,2001-06-01,2001,2017-12-15,GPS,2019-03-11,MT-DOD,Dead,Malnutrition,Probable
1802,2006-06-01,2006,2017-12-15,GPS,2018-03-16,MT-DOD,Dead,Wolf,Probable
1803,2006-06-01,2006,2017-12-15,GPS,2018-04-04,MT-DOD,Dead,Malnutrition,Probable
1804,2003-06-01,2003,2017-12-15,GPS,2020-04-01,MT-DOD,Dead,Malnutrition,Probable
1805,2012-06-01,2012,2017-12-15,GPS,2025-05-26,Last Live GPS,Dead,,
1806,2005-06-01,2005,2017-12-15,GPS,2024-03-05,Last Live GPS,Live,,
1807,2007-06-01,2007,2017-12-15,GPS,2021-02-11,Last Live GPS,Dead,Wolf,Probable
1808,2005-06-01,2005,2017-12-16,GPS,2020-05-21,MT-DOD,Dead,Wolf,Probable
1809,2013-06-01,2013,2017-12-16,GPS,2021-05-04,Last Live VHF,Live,,
1810,2010-06-01,2010,2017-12-15,GPS,2019-11-29,MT-DOD,Dead,Wolf,Definite
1901,2011-06-01,2011,2018-12-09,GPS,2023-11-24,MT-DOD,Dead,Wolf,Probable
1902,2006-06-01,2006,2018-12-09,GPS,2021-11-06,Last Live GPS,Live,,
1903,2009-06-01,2009,2018-12-09,GPS,2022-06-18,MT-DOD,Dead,Wolf,Probable
1904,2015-06-01,2015,2018-12-11,GPS,2025-09-02,Last Live GPS,Live,,
1905,2005-06-01,2005,2018-12-11,GPS,2019-12-27,MT-DOD,Dead,Wolf,Probable
1906,2014-06-01,2014,2018-12-09,GPS,2020-08-02,MT-DOD,Dead,Natural-Unknown,Unknown
1908,2015-06-01,2015,2018-12-09,GPS,2025-09-02,Last Live GPS,Live,,
1909,2013-06-01,2013,2018-12-09,GPS,2022-09-05,Last Live GPS,Live,,
1910,2014-06-01,2014,2018-12-09,GPS,2025-09-02,Last Live GPS,Live,,
1911,2007-06-01,2007,2018-12-11,GPS,2020-02-12,Last Live VHF,Live,,
1912,2004-06-01,2004,2018-12-11,GPS,2021-04-06,MT-DOD,Dead,Cougar,Probable
1913,2003-06-01,2003,2018-12-11,GPS,2023-04-06,MT-DOD,Dead,Malnutrition,Probable
1914,2010-06-01,2010,2018-12-11,GPS,2024-03-06,Last Live Obs,Live,,
2000,,,2019-12-14,GPS,2019-12-16,Last Live GPS,Dead,Capture,Possible
2001,2005-06-01,2005,2019-12-15,GPS,2021-05-21,Last Live GPS,Dead,Wolf,Probable
2002,2002-06-01,2002,2019-12-14,GPS,2024-01-31,MT-DOD,Dead,Wolf,Probable
2003,2013-06-01,2013,2019-12-14,GPS,2020-03-29,MT-DOD,Dead,Wolf,Probable
2004,2004-06-01,2004,2019-12-14,GPS,2020-10-26,MT-DOD,Dead,Cougar,Possible
2005,2000-06-01,2000,2019-12-15,GPS,2022-12-27,MT-DOD,Dead,Wolf,Probable
2006,2000-06-01,2000,2019-12-15,GPS,2022-04-08,MT-DOD,Dead,Wolf,Probable
2007,2018-06-01,2018,2019-12-15,GPS,2025-09-02,Last Live GPS,Live,,
2008,2016-06-01,2016,2019-12-15,GPS,2025-09-02,Last Live GPS,Live,,
2009,2014-06-01,2014,2019-12-15,GPS,2025-08-26,Last Live GPS,Live,,
2010,2003-06-01,2003,2019-12-15,GPS,2023-01-21,Last Live GPS,Live,,
2011,2010-06-01,2010,2019-12-15,GPS,2025-09-02,Last Live GPS,Live,,
2012,2015-06-01,2015,2019-12-14,GPS,2023-10-29,MT-DOD,Dead,Unknown,Unknown
2013,2007-06-01,2007,2019-12-14,GPS,2019-12-23,MT-DOD,Dead,Capture,Possible
2101,2011-06-01,2011,2020-12-15,GPS,2025-08-17,Last Live GPS,Live,,
2102,2018-06-01,2018,2020-12-15,GPS,2025-09-02,Last Live GPS,Live,,
2103,2004-06-01,2004,2020-12-15,GPS,2024-05-10,Last Live VHF,Live,,
2104,2005-06-01,2005,2020-12-15,GPS,2025-01-20,Last Live GPS,Dead,Natural-Unknown,Unknown
2105,2010-06-01,2010,2020-12-15,GPS,2025-09-02,Last Live GPS,Live,,
2106,2004-06-01,2004,2020-12-15,GPS,2021-03-23,MT-DOD,Dead,Cougar,Probable
2107,2015-06-01,2015,2020-12-15,GPS,2023-10-10,MT-DOD,Dead,Wolf,Probable
2108,2004-06-01,2004,2020-12-15,GPS,2021-02-05,MT-DOD,Dead,Cougar,Probable
2109,2013-06-01,2013,2020-12-15,GPS,2025-03-08,Last Live Obs,Live,,
2110,2004-06-01,2004,2020-12-15,GPS,2021-01-26,MT-DOD,Dead,Wolf,Possible
2111,2010-06-01,2010,2020-12-15,GPS,2023-03-17,MT-DOD,Dead,Wolf,Possible
2112,2003-06-01,2003,2020-12-16,GPS,2021-01-12,MT-DOD,Dead,Wolf,Probable
2113,2001-06-01,2001,2020-12-16,GPS,2021-05-04,MT-DOD,Dead,Wolf,Probable
2114,2013-06-01,2013,2020-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2201,2016-06-01,2016,2021-12-11,GPS,2021-12-11,MT-DOD,Dead,Capture,Probable
2202,2016-06-01,2016,2021-12-11,GPS,2025-09-02,Last Live GPS,Live,,
2203,2019-06-01,2019,2021-12-11,GPS,2021-12-26,MT-DOD,Dead,Wolf,Probable
2204,2003-06-01,2003,2021-12-11,GPS,2022-01-18,MT-DOD,Dead,Wolf,Definite
2205,2009-06-01,2009,2021-12-10,GPS,2023-11-19,MT-DOD,Dead,Harvest,Definite
2206,2009-06-01,2009,2021-12-11,GPS,2023-11-30,Last Live GPS,Dead,Cougar,Probable
2207,2003-06-01,2003,2021-12-10,GPS,2021-12-20,MT-DOD,Dead,Capture,Probable
2208,2014-06-01,2014,2021-12-11,GPS,2025-09-02,Last Live GPS,Live,,
2209,2006-06-01,2006,2021-12-10,GPS,2025-09-02,Last Live GPS,Live,,
2210,2007-06-01,2007,2021-12-10,GPS,2024-02-25,Last Live GPS,Dead,Natural-Unknown,Unknown
2211,2009-06-01,2009,2021-12-10,GPS,2023-04-09,MT-DOD,Dead,Malnutrition,Probable
2212,2006-06-01,2006,2021-12-10,GPS,2024-08-03,MT-DOD,Dead,Vehicle,Probable
2213,2014-06-01,2014,2021-12-11,GPS,2023-01-13,MT-DOD,Dead,Wolf,Possible
2214,2009-06-01,2009,2021-12-11,GPS,2025-09-01,Last Live GPS,Live,,
2215,2013-06-01,2013,2021-12-11,GPS,2025-09-02,Last Live GPS,Live,,
2216,2006-06-01,2006,2021-12-11,GPS,2025-09-02,Last Live GPS,Live,,
2217,2013-06-01,2013,2021-12-11,GPS,2025-09-01,Last Live GPS,Live,,
2301,2012-06-01,2012,2023-01-07,GPS,2025-09-01,Last Live GPS,Live,,
2302,2014-06-01,2014,2023-01-08,GPS,2024-02-05,MT-DOD,Dead,Harvest,Definite
2303,2013-06-01,2013,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2304,2017-06-01,2017,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2305,2012-06-01,2012,2023-01-08,GPS,2023-04-14,Last Live GPS,Live,,
2306,2017-06-01,2017,2023-01-07,GPS,2025-08-22,Last Live GPS,Live,,
2307,2003-06-01,2003,2023-01-07,GPS,2023-03-03,MT-DOD,Dead,Malnutrition,Probable
2308,2017-06-01,2017,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2309,2009-06-01,2009,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2310,2006-06-01,2006,2023-01-07,GPS,2023-02-12,MT-DOD,Dead,Unknown,Unknown
2311,2015-06-01,2015,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2312,2015-06-01,2015,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2313,2013-06-01,2013,2023-01-07,GPS,2023-05-27,MT-DOD,Dead,Wolf,Possible
2314,2015-06-01,2015,2023-01-07,GPS,2024-03-15,MT-DOD,Dead,Harvest,Definite
2315,2014-06-01,2014,2023-01-07,GPS,2025-08-29,Last Live GPS,Live,,
2316,2018-06-01,2018,2023-01-07,GPS,2025-07-02,Last Live VHF,Live,,
2317,2007-06-01,2007,2023-01-07,GPS,2025-09-02,Last Live GPS,Live,,
2501,awaiting cementum,awaiting cementum,2024-12-19,GPS,2025-09-02,Last Live GPS,Live,,
2502,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2503,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2504,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2505,awaiting cementum,awaiting cementum,2024-12-18,GPS,2025-09-02,Last Live GPS,Live,,
2506,awaiting cementum,awaiting cementum,2024-12-19,GPS,2025-09-02,Last Live GPS,Live,,
2507,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2508,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2509,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2510,awaiting cementum,awaiting cementum,2024-12-18,GPS,2025-09-02,Last Live GPS,Live,,
2511,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2512,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2513,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2514,awaiting cementum,awaiting cementum,2024-12-18,GPS,2025-09-02,Last Live GPS,Live,,
2515,awaiting cementum,awaiting cementum,2024-12-18,GPS,2025-06-01,MT-DOD,Dead,Malnutrition,Probable
2516,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2517,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-09-02,Last Live GPS,Live,,
2518,awaiting cementum,awaiting cementum,2024-12-18,GPS,2025-09-02,Last Live GPS,Live,,
2519,awaiting cementum,awaiting cementum,2024-12-16,GPS,2025-03-12,Last Live GPS,Dead,Natural-Unknown,Unknown